"","Year","Region","Region_alt","Region_type","Strata_included","Strata_excluded","Index","Index_q_0.025","Index_q_0.05","Index_q_0.25","Index_q_0.75","Index_q_0.95","Index_q_0.975","obs_mean","nrts","nnzero","nrts_total","backcast_flag","scale","model","species"
"46",2011,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.208635114630548,0.0775539307512303,0.0913391850066312,0.149504993459067,0.29490091265988,0.493175341990723,0.598622096172644,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"47",2012,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.237586441644221,0.0907176418510464,0.105611234044019,0.17022699943198,0.330036397310134,0.563749536897537,0.669681017454456,0,2,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"48",2013,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.305932238631321,0.120938770313697,0.140406605470306,0.22264442181416,0.425618967425829,0.704019279794136,0.833832931199524,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"49",2014,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.390656271635453,0.162670069224987,0.185117172362664,0.284885852422405,0.534823914507605,0.878954211966705,1.0468310532922,0,0,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"50",2015,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.379088185439956,0.172293408606096,0.196471844688076,0.285644728616503,0.507537711915108,0.80302690822796,0.971773271508697,1.00734365021415,3,2,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"51",2016,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.37252237990785,0.168341211172751,0.191081248869344,0.28056857798515,0.500337538440655,0.816646161749729,0.957392578460188,0.839453041844622,3,2,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"52",2017,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.348381660939757,0.152798243985558,0.173551581529953,0.258247640845509,0.470656635001698,0.787031008609579,0.948151308493707,0.671562433476393,2,1,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"53",2018,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.323386211632447,0.13518055895139,0.15594426196496,0.237166370609415,0.454041480611106,0.757653860735828,0.918424716974865,0.335781216738196,2,1,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"54",2019,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.320338596307257,0.126007450218447,0.147494536107731,0.231997819963815,0.45536340970194,0.798097170996198,0.960765347968913,0.49632817489314,2,2,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"55",2020,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.317003703668345,0.104600184945271,0.124719370226425,0.215328286501692,0.471129638272017,0.852561012526802,1.05811963618421,0,0,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"56",2021,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.319143081296163,0.108225582292952,0.128179882966647,0.219250028117295,0.469747451705504,0.849027250911369,1.03564979439374,0.167890608369098,2,1,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"57",1966,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0188791109970302,0.00211707787391643,0.00301278946645834,0.00927744954308645,0.0383723659745277,0.108629059507513,0.153567808246461,0,0,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
